Year,Team,Conf,Seed,Wins,Losses,Win_percent,RPI,FirstRwin,SecRwin,thrdRwin,frthRwin,fifthRwin,sixthRwin
2015,West Virginia,Big12,5,23,9,0.71875,0.609,1,1,0,0,0,0
2015,Buffalo,Mid-American,12,23,9,0.71875,0.589,0,0,0,0,0,0
2015,Maryland,Big10,4,27,6,0.818181818,0.623,1,0,0,0,0,0
2015,Valparaiso,Horizon,13,28,5,0.848484848,0.566,0,0,0,0,0,0
2015,Butler,Big East,6,22,10,0.6875,0.592,1,0,0,0,0,0
2015,Texas,Big12,11,20,13,0.606060606,0.571,0,0,0,0,0,0
2015,Notre Dame,Atlantic Coast,3,29,5,0.852941176,0.628,1,1,1,0,0,0
2015,Northeastern,Colonial,14,23,11,0.676470588,0.538,0,0,0,0,0,0
2015,Wichita St.,Missouri Valley,7,28,4,0.875,0.624,1,1,0,0,0,0
2015,Indiana,Big10,10,20,13,0.606060606,0.561,0,0,0,0,0,0
2015,Kansas,Big12,2,26,8,0.764705882,0.661,1,0,0,0,0,0
2015,New Mexico St.,Western Atlantic,15,23,10,0.696969697,0.529,0,0,0,0,0,0
2015,Wisconsin,Big10,1,31,3,0.911764706,0.68,1,1,1,1,1,0
2015,Coastal Carolina,Big South,16,24,9,0.727272727,0.52,0,0,0,0,0,0
2015,Oregon,Pac-12,8,25,9,0.735294118,0.598,1,0,0,0,0,0
2015,Oklahoma St.,Big12,9,18,13,0.580645161,0.564,0,0,0,0,0,0
2015,Arkansas,Southeastern,5,26,8,0.764705882,0.609,1,0,0,0,0,0
2015,Wofford,Southern,12,28,6,0.823529412,0.572,0,0,0,0,0,0
2015,UNC,Atlantic Coast,4,24,11,0.685714286,0.632,1,1,0,0,0,0
2015,Harvard,Ivy League,13,22,7,0.75862069,0.564,0,0,0,0,0,0
2015,Xavier,Big East,6,21,13,0.617647059,0.597,1,1,0,0,0,0
2015,Ole Miss,Southeastern,11,20,12,0.625,0.565,0,0,0,0,0,0
2015,Baylor,Big12,3,24,9,0.727272727,0.619,0,0,0,0,0,0
2015,Georgia St.,Sun Belt,14,24,9,0.727272727,0.57,1,0,0,0,0,0
2015,VCU,Atlantic 10,7,26,9,0.742857143,0.612,0,0,0,0,0,0
2015,Ohio St.,Big10,10,23,10,0.696969697,0.584,1,0,0,0,0,0
2015,Arizona,Pac-12,2,31,3,0.911764706,0.664,1,1,1,0,0,0
2015,Texas Southern,Southwestern,15,22,12,0.647058824,0.524,0,0,0,0,0,0
2015,Villanova,Big East,1,32,2,0.941176471,0.659,1,0,0,0,0,0
2015,Lafayette,Sun Belt,16,20,12,0.625,0.523,0,0,0,0,0,0
2015,NC State,Atlantic Coast,8,20,13,0.606060606,0.589,1,1,0,0,0,0
2015,LSU,Southeastern,9,22,10,0.6875,0.559,0,0,0,0,0,0
